이체년월,법정동시도,법정동시군_일부통합(연금일시금분류(일시금합침)),노령연금 수급자수,노령연금 금액,장애연금 수급자수,장애연금 금액,유족연금 수급자수,유족연금 금액,일시금 수급자수,일시금 금액
2022-07,경상남도,사천시,12415 ,5094902000 ,179 ,78325160 ,2751 ,638566300 ,56 ,323843620 
2022-07,경상남도,김해시,43842 ,21765766730 ,990 ,540576880 ,8370 ,2230110190 ,231 ,1360457100 
2022-07,경상남도,밀양시,17055 ,7467605580 ,173 ,66435870 ,3715 ,839274830 ,53 ,251536130 
2022-07,경상남도,거제시,21117 ,13983616300 ,395 ,259018850 ,4109 ,1233230540 ,84 ,491745480 
2022-07,경상남도,양산시,34960 ,17511259280 ,634 ,321322010 ,6201 ,1687273740 ,159 ,963488070 
2022-07,경상남도,의령군,5238 ,2136405440 ,50 ,19128870 ,1277 ,272783200 ,15 ,70669040 
2022-07,경상남도,함안군,9601 ,4354420520 ,111 ,45918770 ,2123 ,511850240 ,41 ,312518720 
2022-07,경상남도,창녕군,10826 ,4552113550 ,125 ,48602410 ,2434 ,534695680 ,43 ,272484600 
2022-07,경상남도,고성군,8803 ,3594261060 ,116 ,47931480 ,1953 ,427290390 ,32 ,198311370 
2022-07,경상남도,남해군,7833 ,3152551430 ,87 ,35427200 ,2196 ,480026140 ,18 ,77669860 
2022-07,경상남도,하동군,8042 ,3212974620 ,83 ,33237750 ,1906 ,413504720 ,15 ,61929840 
2022-07,경상남도,산청군,6737 ,2776678400 ,61 ,25316420 ,1618 ,343360440 ,13 ,72326320 
2022-07,경상남도,함양군,6928 ,2692021810 ,65 ,24613870 ,1791 ,382879000 ,14 ,33526750 
2022-07,경상남도,거창군,9393 ,3654659350 ,93 ,34639170 ,2480 ,537292380 ,14 ,47615610 
2022-07,경상남도,합천군,8865 ,3498707210 ,80 ,31307390 ,2462 ,531773340 ,17 ,55926300 
2022-07,제주특별자치도,제주시,42475 ,19038685590 ,583 ,311266080 ,8571 ,2203108510 ,128 ,628146400 
2022-07,제주특별자치도,서귀포시,20834 ,8840972930 ,235 ,122859520 ,4142 ,1020342530 ,56 ,216724810 
2022-08,서울특별시,종로구,13652 ,6808576270 ,104 ,52566850 ,1987 ,591633470 ,42 ,207396370 
2022-08,서울특별시,중구,12031 ,5619505190 ,114 ,53818470 ,1674 ,471365450 ,40 ,212422520 
2022-08,서울특별시,용산구,19794 ,10929960570 ,171 ,119440780 ,2778 ,860171640 ,77 ,634671880 
2022-08,서울특별시,성동구,26259 ,13440488470 ,235 ,134877720 ,3904 ,1141056170 ,90 ,380299520 
2022-08,서울특별시,광진구,30262 ,15337100090 ,287 ,150574640 ,4546 ,1336940080 ,122 ,631368360 
2022-08,서울특별시,동대문구,33364 ,14967246040 ,371 ,171179900 ,5329 ,1450511010 ,159 ,787889530 
