이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
수정중원,44320 ,19821353980 ,44602 ,20052597140 ,44901 ,20257836630 ,45230 ,20480944390 ,45586 ,20708506410 ,46006 ,21054963010 ,46491 ,22454330330 ,46607 ,22578994200 ,46683 ,22500121350 ,46742 ,22605685780 ,46756 ,22594628510 ,46765 ,22576268860 
수지,,,,,,,,,,,,,29585 ,20923688890 ,29669 ,21085034700 ,29763 ,20968368500 ,29793 ,21076274860 ,29811 ,21096790760 ,29867 ,21210188430 
강릉,40761 ,17651210920 ,41050 ,17815780920 ,41329 ,17948932100 ,41539 ,18123325470 ,41842 ,18352740140 ,42133 ,18507863960 ,42523 ,19755020290 ,42672 ,19865448490 ,42775 ,19883090310 ,42899 ,20047242630 ,42965 ,20037959690 ,43043 ,20118810530 
춘천,39146 ,17478573600 ,39450 ,17685599190 ,39750 ,17864815510 ,40085 ,18081980250 ,40426 ,18283352400 ,40690 ,18491030910 ,41077 ,19665921990 ,41225 ,19863281190 ,41353 ,19832465460 ,41482 ,19973044690 ,41539 ,19974895720 ,41606 ,20017523790 
원주,44320 ,20439303870 ,44672 ,20715588610 ,45067 ,20915095620 ,45486 ,21215745650 ,45879 ,21463521870 ,46281 ,21722840140 ,46795 ,23227126170 ,46976 ,23369007480 ,47128 ,23382224410 ,47284 ,23516899800 ,47400 ,23596662640 ,47503 ,23683337170 
삼척,31547 ,15042168380 ,31722 ,15139302960 ,31911 ,15168943340 ,32104 ,15342267800 ,32310 ,15513494930 ,32488 ,15667053590 ,32743 ,16649350130 ,32812 ,16764639200 ,32873 ,16764298440 ,32943 ,16786312620 ,32976 ,16838577150 ,33003 ,16847540550 
홍천,22279 ,9847037000 ,22431 ,9943314180 ,22567 ,10014530600 ,22756 ,10161006230 ,22900 ,10247859410 ,23075 ,10373776900 ,23318 ,11057637160 ,23405 ,11179376020 ,23516 ,11200283060 ,23607 ,11280499890 ,23666 ,11324877010 ,23682 ,11338282550 
동청주,52792 ,24427653330 ,53209 ,24756262990 ,53658 ,25006167190 ,54033 ,25259488650 ,54502 ,25594188510 ,55004 ,25980515090 ,55705 ,27794720200 ,55921 ,28046508840 ,56103 ,28024323310 ,56330 ,28218669990 ,56455 ,28320730560 ,56536 ,28406277900 
충주,57942 ,25550008700 ,58308 ,25819981240 ,58665 ,25994934700 ,59104 ,26320149620 ,59494 ,26585656770 ,59936 ,26867625730 ,60576 ,28698868290 ,60814 ,29001254550 ,61037 ,28993995200 ,61221 ,29134805890 ,61287 ,29207826820 ,61427 ,29305208610 
옥천,22994 ,9621873470 ,23129 ,9706534600 ,23250 ,9815200690 ,23383 ,9891218670 ,23506 ,9975915140 ,23659 ,10094589960 ,23876 ,10769291900 ,23946 ,10801923470 ,24036 ,10888230380 ,24107 ,10934034940 ,24148 ,10967740630 ,24187 ,10982191330 
서청주,38044 ,18863421870 ,38298 ,19019228620 ,38571 ,19240577770 ,38911 ,19519347450 ,39295 ,19799656410 ,39650 ,20044165910 ,40071 ,21426428610 ,40212 ,21566251240 ,40333 ,21631062190 ,40418 ,21687270680 ,40488 ,21773931810 ,40586 ,21863372250 
천안,46895 ,23113602090 ,47332 ,23558873300 ,47798 ,23727714230 ,48295 ,24057705730 ,48794 ,24513933530 ,49274 ,24818634930 ,49840 ,26572639230 ,50036 ,26845015260 ,50178 ,26765249940 ,50344 ,26995699390 ,50442 ,27050739040 ,50548 ,27097868270 
홍성,41779 ,17548353340 ,42042 ,17732476500 ,42340 ,17946853430 ,42678 ,18086394550 ,42947 ,18296632430 ,43172 ,18477401430 ,43568 ,19711139410 ,43713 ,19864476000 ,43835 ,19863192040 ,43908 ,19958155010 ,43972 ,20005723930 ,44055 ,20074715700 
보령,30077 ,11673201290 ,30218 ,11769704500 ,30385 ,11872046930 ,30505 ,11974056180 ,30684 ,12090346790 ,30842 ,12233357170 ,31056 ,12986983560 ,31139 ,13097373840 ,31233 ,13118028470 ,31281 ,13164186840 ,31282 ,13187035240 ,31298 ,13183332640 
공주부여,26913 ,10720025570 ,27072 ,10805505230 ,27189 ,10890948300 ,27325 ,10996996610 ,27478 ,11119561480 ,27652 ,11250177800 ,27927 ,11984730910 ,28049 ,12091081000 ,28164 ,12142171890 ,28249 ,12179826520 ,28291 ,12209830900 ,28340 ,12231090410 
서산태안,28049 ,11778758230 ,28232 ,11890669160 ,28378 ,11962754590 ,28546 ,12127152110 ,28785 ,12308613670 ,28972 ,12430574450 ,29260 ,13256090490 ,29370 ,13339033420 ,29455 ,13400746360 ,29555 ,13421167590 ,29569 ,13437285470 ,29633 ,13487128240 
아산,25229 ,11730266200 ,25426 ,11878444490 ,25661 ,12016497630 ,25864 ,12166871640 ,26117 ,12349063010 ,26345 ,12560635600 ,26620 ,13354595330 ,26680 ,13473398870 ,26753 ,13416250020 ,26795 ,13483389520 ,26845 ,13511161180 ,26921 ,13594462720 
전주완주,68531 ,30423945260 ,69000 ,30814468380 ,69546 ,31070349840 ,70123 ,31573642910 ,70745 ,32060668930 ,71362 ,32437764790 ,72071 ,34571001650 ,72243 ,34775899870 ,72414 ,34835928670 ,72565 ,34964815690 ,72650 ,34991627020 ,72754 ,35135453690 
익산군산,61557 ,26158223950 ,61986 ,26458077100 ,62457 ,26716499670 ,62954 ,27115383730 ,63517 ,27456951900 ,63994 ,27778745050 ,64607 ,29679369440 ,64795 ,29889228500 ,65004 ,29891257350 ,65201 ,30059213860 ,65278 ,30072902620 ,65366 ,30131859860 
